player_name,national_team,club_name,club_wikipedia_url,club_country,start_age_est,end_age_est,start_year_est,end_year_est,source_primary,source_secondary,confidence,notes
Nicolás Tagliafico,Argentina,Banfield,https://en.wikipedia.org/wiki/Club_Atlético_Banfield,Argentina,15,16,2007,2008,Wikipedia player infobox,https://en.wikipedia.org/wiki/Nicolás_Tagliafico,medium,First-pass youth record from Wikipedia. Original youth span: 2007–2010. Club country still needs backfill.
Rodrigo De Paul,Argentina,Racing Club,https://en.wikipedia.org/wiki/Racing_Club_de_Avellaneda,Argentina,8,16,2002,2010,Wikipedia player infobox,https://en.wikipedia.org/wiki/Rodrigo_De_Paul,medium,First-pass youth record from Wikipedia. Original youth span: 2002–2012. Club country still needs backfill.
Thiago Almada,Argentina,Santa Clara,,Portugal,5,5,2006,2006,Wikipedia player infobox,https://en.wikipedia.org/wiki/Thiago_Almada,medium,First-pass youth record from Wikipedia. Original youth span: 2005–2006. Club country still needs backfill.
Thiago Almada,Argentina,Vélez Sarsfield,https://en.wikipedia.org/wiki/Club_Atlético_Vélez_Sarsfield,Argentina,5,16,2006,2017,Wikipedia player infobox,https://en.wikipedia.org/wiki/Thiago_Almada,medium,First-pass youth record from Wikipedia. Original youth span: 2006–2018. Club country still needs backfill.
Aiden O'Neill,Australia,Kenmore,https://en.wikipedia.org/wiki/University_of_Queensland_FC,Australia,6,8,2004,2006,Wikipedia player infobox,https://en.wikipedia.org/wiki/Aiden_O'Neill,medium,First-pass youth record from Wikipedia. Original youth span: 2004–2006. Club country still needs backfill.
Aiden O'Neill,Australia,Brisbane Athletic,,Australia,9,13,2007,2011,Wikipedia player infobox,https://en.wikipedia.org/wiki/Aiden_O'Neill,medium,First-pass youth record from Wikipedia. Original youth span: 2007–2011. Club country still needs backfill.
Aiden O'Neill,Australia,Burnley,https://en.wikipedia.org/wiki/Burnley_F.C.,England,16,16,2014,2014,Wikipedia player infobox,https://en.wikipedia.org/wiki/Aiden_O'Neill,medium,First-pass youth record from Wikipedia. Original youth span: 2014–2016. Club country still needs backfill.
Alessandro Circati,Australia,Perth SC,https://en.wikipedia.org/wiki/Perth_SC,Australia,11,13,2014,2016,Wikipedia player infobox,https://en.wikipedia.org/wiki/Alessandro_Circati,medium,First-pass youth record from Wikipedia. Original youth span: 2014–2016. Club country still needs backfill.
Alessandro Circati,Australia,Perth Glory,https://en.wikipedia.org/wiki/Perth_Glory_FC,Australia,14,16,2017,2019,Wikipedia player infobox,https://en.wikipedia.org/wiki/Alessandro_Circati,medium,First-pass youth record from Wikipedia. Original youth span: 2017–2021. Club country still needs backfill.
Aziz Behich,Australia,Green Gully,https://en.wikipedia.org/wiki/Green_Gully,Australia,15,16,2005,2006,Wikipedia player infobox,https://en.wikipedia.org/wiki/Aziz_Behich,medium,First-pass youth record from Wikipedia. Original youth span: 2005–2007. Club country still needs backfill.
Cameron Burgess,Australia,ECU Joondalup,https://en.wikipedia.org/wiki/ECU_Joondalup_SC,Australia,11,16,2006,2011,Wikipedia player infobox,https://en.wikipedia.org/wiki/Cameron_Burgess,medium,First-pass youth record from Wikipedia. Original youth span: 2006–2011. Club country still needs backfill.
Cameron Burgess,Australia,Portlethen Sports Club,,England,11,11,2006,2006,Wikipedia player infobox,https://en.wikipedia.org/wiki/Cameron_Burgess,medium,First-pass youth record from Wikipedia. Original youth span: 0000 –2006. Club country still needs backfill.
Cameron Burgess,Australia,Fulham,https://en.wikipedia.org/wiki/Fulham_F.C._Academy,England,16,16,2011,2011,Wikipedia player infobox,https://en.wikipedia.org/wiki/Cameron_Burgess,medium,First-pass youth record from Wikipedia. Original youth span: 2011–2014. Club country still needs backfill.
Connor Metcalfe,Australia,Melbourne City,https://en.wikipedia.org/wiki/Melbourne_City_FC,Australia,15,16,2014,2015,Wikipedia player infobox,https://en.wikipedia.org/wiki/Connor_Metcalfe,medium,First-pass youth record from Wikipedia. Original youth span: 2014–2017. Club country still needs backfill.
Cristian Volpato,Australia,Sydney United,https://en.wikipedia.org/wiki/Sydney_United_58_FC,Croatia,10,12,2013,2015,Wikipedia player infobox,https://en.wikipedia.org/wiki/Cristian_Volpato,medium,First-pass youth record from Wikipedia. Original youth span: 2013–2015. Club country still needs backfill.
Cristian Volpato,Australia,Sydney FC,https://en.wikipedia.org/wiki/Sydney_FC,Australia,13,15,2016,2018,Wikipedia player infobox,https://en.wikipedia.org/wiki/Cristian_Volpato,medium,First-pass youth record from Wikipedia. Original youth span: 2016–2018. Club country still needs backfill.
Cristian Volpato,Australia,Western Sydney Wanderers,https://en.wikipedia.org/wiki/Western_Sydney_Wanderers_FC,Australia,15,16,2018,2019,Wikipedia player infobox,https://en.wikipedia.org/wiki/Cristian_Volpato,medium,First-pass youth record from Wikipedia. Original youth span: 2018–2020. Club country still needs backfill.
Harry Souttar,Australia,Dundee United,https://en.wikipedia.org/wiki/Dundee_United_F.C.,Scotland,15,16,2013,2014,Wikipedia player infobox,https://en.wikipedia.org/wiki/Harry_Souttar,medium,First-pass youth record from Wikipedia. Original youth span: 2013–2015. Club country still needs backfill.
Jackson Irvine,Australia,Ringwood City JSC,https://en.wikipedia.org/wiki/Ringwood_City_SC,Australia,6,9,1999,2002,Wikipedia player infobox,https://en.wikipedia.org/wiki/Jackson_Irvine,medium,First-pass youth record from Wikipedia. Original youth span: 1999–2002. Club country still needs backfill.
Jackson Irvine,Australia,Knox City,https://en.wikipedia.org/wiki/Knox_City_FC,Australia,10,13,2003,2006,Wikipedia player infobox,https://en.wikipedia.org/wiki/Jackson_Irvine,medium,First-pass youth record from Wikipedia. Original youth span: 2003–2006. Club country still needs backfill.
Jackson Irvine,Australia,Endeavour United,,Australia,14,15,2007,2008,Wikipedia player infobox,https://en.wikipedia.org/wiki/Jackson_Irvine,medium,First-pass youth record from Wikipedia. Original youth span: 2007–2008. Club country still needs backfill.
Jackson Irvine,Australia,Richmond SC,https://en.wikipedia.org/wiki/Richmond_SC,Australia,15,15,2008,2008,Wikipedia player infobox,https://en.wikipedia.org/wiki/Jackson_Irvine,medium,First-pass youth record from Wikipedia. Original youth span: 2008. Club country still needs backfill.
Jackson Irvine,Australia,Melbourne Victory,https://en.wikipedia.org/wiki/Melbourne_Victory_FC,Australia,16,16,2009,2009,Wikipedia player infobox,https://en.wikipedia.org/wiki/Jackson_Irvine,medium,First-pass youth record from Wikipedia. Original youth span: 2009–2010. Club country still needs backfill.
Jacob Italiano,Australia,FW NTC,https://en.wikipedia.org/wiki/Football_West_National_Training_Centre,Australia,13,14,2014,2015,Wikipedia player infobox,https://en.wikipedia.org/wiki/Jacob_Italiano,medium,First-pass youth record from Wikipedia. Original youth span: 2014–2015. Club country still needs backfill.
Jordan Bos,Australia,Melbourne City,https://en.wikipedia.org/wiki/Melbourne_City_FC_Youth,Australia,14,16,2016,2018,Wikipedia player infobox,https://en.wikipedia.org/wiki/Jordan_Bos,medium,First-pass youth record from Wikipedia. Original youth span: 2016–2019. Club country still needs backfill.
Lucas Herrington,Australia,Brisbane Roar,https://en.wikipedia.org/wiki/Brisbane_Roar_FC,Australia,12,16,2019,2023,Wikipedia player infobox,https://en.wikipedia.org/wiki/Lucas_Herrington,medium,First-pass youth record from Wikipedia. Original youth span: 2019–2023. Club country still needs backfill.
Mathew Leckie,Australia,Bulleen Lions,https://en.wikipedia.org/wiki/Bulleen_Lions,Australia,16,16,2007,2007,Wikipedia player infobox,https://en.wikipedia.org/wiki/Mathew_Leckie,medium,First-pass youth record from Wikipedia. Original youth span: 2007. Club country still needs backfill.
Mohamed Touré,Australia,Croydon Kings,https://en.wikipedia.org/wiki/Croydon_Kings,Australia,11,14,2015,2018,Wikipedia player infobox,"https://en.wikipedia.org/wiki/Mohamed_Touré_(soccer,_born_2004)",medium,First-pass youth record from Wikipedia. Original youth span: 2015–2018. Club country still needs backfill.
Mohamed Touré,Australia,SA NTC,,Australia,15,15,2019,2019,Wikipedia player infobox,"https://en.wikipedia.org/wiki/Mohamed_Touré_(soccer,_born_2004)",medium,First-pass youth record from Wikipedia. Original youth span: 2019. Club country still needs backfill.
Mohamed Touré,Australia,Adelaide United,https://en.wikipedia.org/wiki/Adelaide_United_FC,Australia,16,16,2020,2020,Wikipedia player infobox,"https://en.wikipedia.org/wiki/Mohamed_Touré_(soccer,_born_2004)",medium,First-pass youth record from Wikipedia. Original youth span: 2020. Club country still needs backfill.
Nestory Irankunda,Australia,Adelaide Croatia Raiders,https://en.wikipedia.org/wiki/Adelaide_Croatia_Raiders_SC,Australia,12,14,2018,2020,Wikipedia player infobox,https://en.wikipedia.org/wiki/Nestory_Irankunda,medium,First-pass youth record from Wikipedia. Original youth span: 2018–2020. Club country still needs backfill.
Nestory Irankunda,Australia,Adelaide United,https://en.wikipedia.org/wiki/Adelaide_United_FC,Australia,15,15,2021,2021,Wikipedia player infobox,https://en.wikipedia.org/wiki/Nestory_Irankunda,medium,First-pass youth record from Wikipedia. Original youth span: 2021. Club country still needs backfill.
Nishan Velupillay,Australia,Endeavour United,,Australia,,,,,Wikipedia player infobox,https://en.wikipedia.org/wiki/Nishan_Velupillay,low,Fallback youth record from the earliest listed youth club in the Wikipedia infobox. Exact overlap with ages 5-16 is not published clearly enough to estimate.
Patrick Beach,Australia,Glenmore Park FC,,Australia,5,8,2008,2011,Wikipedia player infobox,https://en.wikipedia.org/wiki/Patrick_Beach,medium,First-pass youth record from Wikipedia. Original youth span: 2007–2011. Club country still needs backfill.
Patrick Beach,Australia,Mt Druitt Town Rangers,https://en.wikipedia.org/wiki/Mt_Druitt_Town_Rangers_FC,Wales,9,15,2012,2018,Wikipedia player infobox,https://en.wikipedia.org/wiki/Patrick_Beach,medium,First-pass youth record from Wikipedia. Original youth span: 2012–2018. Club country still needs backfill.
Patrick Beach,Australia,Marconi Stallions,https://en.wikipedia.org/wiki/Marconi_Stallions_FC,Wales,15,16,2018,2019,Wikipedia player infobox,https://en.wikipedia.org/wiki/Patrick_Beach,medium,First-pass youth record from Wikipedia. Original youth span: 2018–2019. Club country still needs backfill.
